;[u'Glen and Glenda', u'The Marriage Circle', u'Padma Nadir Majhi', u'The Virgin Soldiers', u'The Hours and Times', u'Face/Off', u'Ulysses', u'The Oklahoma Kid', u'Queenie, the Star of Calcutta', u'', u'A Touch of Class', u'Cosi', u"A Hard Day's Night", u'Royal Flash', u'Fabula de la Bella Palomera', u'Stop Train 349', u'RU:', u'The Apple Dumpling Gang Rides Again', u'The Loves of Don Juan', u'Le Grand Blond avec une Chaussure Noire', u'Desperate Remedies', u'Fly Away Home']
Ed Baigley jr;[u'Young Doctors in Love']
Guy Edwards;[u'The Winslow Boy']
Thomas Brown;[u'Honey, I Shrunk the Kids']
Sheila Towers;[u'Grand Avenue']
Naima Wilfstrand;[u'Wild Strawberries']
Matthew Carriere;[u'TZ:Naked Massacre']
Tyrone Guthrie;[u'Vessel of Wrath']
Jack Riley;[u'To Be or Not To Be', u'Attack of the Killer Tomatoes', u'Finders Keepers']
James Frawley;[u'Spies, Lies, and Naked Things']
Jim Norton;[u'Memoirs of an Invisible Man', u'Into the West']
BernardPierre Donnadieu;[u'The Vanishing']
Trevor Bardette;[u'The Oklahoma Kid', u'Charlie Chan at Treasure Island', u'Dick Tracy']
Dave King;[u'The Long Good Friday']
Kyoko Kishida;[u'School for Sex']
Joachim Hauser;[u'War and Remembrance']
Danny DeVito;[u'Terms of Endearment']
Daniel Benzali;[u'Afterburn']
Howard daSilva;[u'The Lost Weekend', u'The Sea Wolf', u'Unconquered', u'The Great Gatsby', u'David and Lisa', u'Mommie Dearest', u'Fourteen Hours', u"I'm Still Alive", u'Three Husbands', u'M', u'The Private Files of J. Edgar Hoover', u'They Live By Night', u'TZ:1776']
Linda Arvidson;[u'The Curtain Pole']
Ela GrubeDeister;[u'Der Brocken']
Joseph GordonLevitt;[u'The Juror', u'Angels in the Outfield']
Carol White;[u'TZ:Some Call it Loving']
Tiny Lister jr.;[u'Posse']
Jean Daste;[u"L'Enfant Sauvage", u"L'homme qui aimait les femmes", u'La chambre verte', u'Boudu Sauv\xe9 Les Eaux', u'La Grande Illusion', u'Z\xe9ro de Conduite']
Veronica Lake;[u'Ramrod', u'The Blue Dahlia', u'Variety Girl', u"Sullivan's Travels", u'I Married a Witch', u'The Glass Key']
Virginia Madsen;[u'Candyman', u'Love Kills', u'Slam Dance']
Carol Dempster;[u'America', u"Isn't life Wonderful"]
Kenny Marino;[u'Prince of the City']
James Coburn;[u'Sister Act 2', u'In Like Flint', u'TZ:The Last of Sheila', u'The Magnificent Seven', u'The Great Escape', u'Midway', u'Loving Couples', u'Goldengirl', u'Looker', u'Hugh Heffner "Once Upon A Time"', u'Affliction', u'TZ:Bite the Bullet', u'Maverick', u'TZ:The Baltimore Bullet', u'An Occurrence at Owl Creek Bridge', u'TZ:Pat Garrett and Billy the Kid', u'TZ:Cross of Iron', u'TZ:Major Dundee', u'Charade', u'The Loved One', u'TZ:Hard Times']
Emil Jannings;[u'Vaudeville', u'Wenn Vier Dasselbe Tun', u'Ein Fideles Gef\xe4ngnis', u'Die Augen der Mumie Ma', u'Madame Dubarry', u"Kohliesel's T\xf6chter", u'Anna Boleyn', u'Das Weib des Pharao', u'The Patriot', u'Der Letzte Mann', u'Faust', u'Last Command', u'Der Blaue Engel', u'The Way of All Flesh']
Ali MacGraw;[u'The Getaway', u'Convoy', u'Just Tell Me What You Want']
Michael Padilla jr.;[u'Tarzan and the Great River']
Michael Vartan;[u'The Myth of Fingerprints', u'Fiorile', u'Never Been Kissed']
Fernando Rey;[u'Anthony and Cleopatra', u'Monsignor', u'The French Connection II', u'De terre et de sang', u'Tristana', u'The Discreet Charm of the Bourgeousie', u'Cet obscur objet du d\xe9sir', u'Seven Beauties', u'La grande bourgoise', u'Ultimi Giorni di Pompeii', u'Moon Over Parador', u'1492: Conquest of Paradise', u'Voyage of the Damned', u'The French Connection']
Esther Ralston;[u'Peter Pan', u'Rome Express', u'Tin Pan Alley']
kd. Laing;[u'Salmonberries']
Lisa Montell;[u'Pearl of the South Pacific']
Stephanie Simon;[u'Coming to America']
Dudley Murphy;[u'Ballet Mechanique']
Keith Carradine;[u'Welcome to L.A.', u'Choose Me', u'CrissCross', u'A Thousand Acres', u'Pretty Baby', u'Murder Ordained', u'Thieves Like Us', u'Nashville', u'The Duelists', u'The Ballad of the Sad Cafe', u'TZ:The Long Riders', u'Southern Comfort']
George Kenedy;[u'Hush Hush, Sweet Charlotte']
Thorkild Roose;[u'Vredens Dag']
Dennis Quilley;[u'Murder on the Orient Express']
Michael Rosenbaum;[u'Urban Legend']
Dave OToole;[u'Oh Mr. Porter']
Malcolm McDowell;[u'Blue Thunder', u'If ...', u'O Lucky Man!', u'Time After Time', u'Cat People', u'TZ:Gulag', u'Voyage of the Damned', u'A Clockwork Orange', u'Caligula', u'Chain of Desire']
Irene Purcell;[u'Just A Gigolo']
Paula Marshall;[u'That Old Feeling']
Ricard Yñiguez;[u'Boulevard Nights']
Alan Price;[u'TZ:Oh Alfie']
Susan Jones;[u'Julia']
Toni Collette;[u'Clockwatchers', u'8 1/2 Women', u"Muriel's Wedding", u'Pallbearer']
Jon Hendricks;[u"White Men Can't Jump"]
Roshan Kumari;[u'Jalsaghar']
Celeste Holm;[u'The Snake Pit', u'Everybody does it', u"Gentleman's Agreement", u'All About Eve', u'The Private Files of J. Edgar Hoover', u'TZ:Champagne for Caesar']
Edda Moser;[u'Don Giovanni']
Dylam McDermott;[u'In the Line of Fire']
Jenilee Harrison;[u'TZ:Tank']
Doug E  Doug;[u'Cool Runnings']
Nicholas Surovy;[u'Forever Young']
Viva Tobin;[u'If I Were Free']
Mimi Gmbell;[u'The Hunchback of Notre Dame']
Jeneane Garofalo;[u'Reality Bites']
Patty Yatsutake;[u'The Wash']
Alyson Reed;[u'SKin Deep', u'A Chorus Line']
Meier Tzelniker;[u'Mr. Emanuel']
Ko Kimura;[u'Stray Dog']
Al Dubin;[u'42nd Street']
Colette Brosset;[u"Le `Petit Baigneur'"]
Guido Colucci;[u"Blade O'Grass"]
Eve Gray;[u'Murder at Monte Carlo']
Sybil Jason;[u'The Little Princess', u'The Singing Kid']
Francis Blanche;[u'Les Tontons Flingeurs']
Sheila Sim;[u'Pandora and the Flying Dutchman', u'Great Day', u'The Night My Number Came Up', u'The Guinea Pig']
Adrian Pasdar;[u'The Last Good Time']
Vincent Donofria;[u'The Whole Wide World']
Dewar Zasee;[u'Vroom!']
Angela Finocchiaro;[u'Volare Volare']
Teresa Berganza;[u'Don Giovanni']
Todd Susman;[u'TZ:The Loners']
Julie Sommars;[u'Herbie Goes to Monte Carlo']
Sy Kramer;[u"Cheech and Chong's Next Movie"]
Richard Eyer;[u'The Invisible Boy', u'The Seventh Voyage of Sinbad', u'Desperate Hours', u'The Friendly Persuasion']
Julie Jalaber;[u'Emmanuelle 7']
Suzanne Kaaren;[u'TZ:Killer Bat']
Anna Paquin;[u'A Walk on the Moon', u'Fly Away Home']
Dick Gautier;[u'When Things were Rotten']
Forrest Stanley;[u'The Cat and the Canary']
Geoffrey Palmer;[u'Mrs. Brown']
Everett Scott;[u'American Werewolf in Paris', u'That Thing You Do!']
Abishek Kapoor;[u'Uff Yeh Mohabbat']
Mavis Washington;[u'TZ:Fastbreak']
Sara Gilbert;[u'Poison Ivy']
Mario Pasik;[u'La Ultima Siembra']
William H. Macy;[u'Homicide', u'Down Periscope', u'Pleasantville', u'Psycho', u'Fargo', u'Boogie Nights']
Jack Dodson;[u'Something Wicked This Way Comes']
Deezer D.;[u'CB4']
Tom Duggan;[u'Frankenstein - 1970', u'The Summer House']
Roy Emerton;[u'Henry V']
Conrad Phillips;[u'Murder She Said']
Patricia Richardson;[u"Ulee's Gold"]
Peggy Evans;[u'The Blue Lamp']
Peter Rowan;[u'Gather at the River']
Febo Mari;[u'Cenere', u'Il Fuoco', u'Tigre Reale']
Victor Buono;[u'The Strangler', u'TZ:Man from Atlantis', u"The Man With Bogart's Face", u'Whatever happened to Baby Jane?', u'Hush Hush, Sweet Charlotte']
Steve Plytas;[u"On Her Majesty's Secret Service"]
Dulcie Gray;[u'The Years Between']
Lotus Long;[u'TZ:Mr. Wong in Chinatown']
Bogumil Kobiela;[u'Everything for Sale']
Nadia Neri;[u'Emanuelle, the Seductress']
Thuy Ann Lun;[u'Off Limits']
Lucille Bremer;[u'Till the Clouds Roll By', u'Meet Me in St.Louis', u'Ziegfeld Follies']
Sue Lloyd;[u'The Bitch', u'The Stud']
Josh Thornton;[u"Don't Look Back"]
Linda Jer;[u'Gypsy']
Emory Powell;[u'Address Unknown']
Cathy Burns;[u'Last Summer', u'Amelia Earhart']
Fred Dalton Thompson;[u'Barbarians at the Gate']
Mary Beth Hughes;[u'Young Man with a Horn', u'The Ox-bow Incident', u'Star Dust', u'The Great Profile']
Nikki D;[u'Just Another Girl on the I.R.T.']
Helene Weigel;[u'Die Mutter', u'Mutter Courage und Ihre Kinder']
Sybille Schmitz;[u'Vampyr']
Gordon Warnecke;[u'My Beautiful Laundrette']
Pat McNamara;[u'The Daytrippers']
Jim Kelly;[u'TZ:Enter the Dragon']
Helmut Dantine;[u'Casablanca', u'Passage to Marseilles', u'Fifth Musketeer', u'Edge of Darkness']
Melissa Jaffa;[u'The Cars That Ate Paris']
Ray Allen;[u'He Got Game']
Charles Rampling;[u'Georgy Girl']
Severn Darden;[u"They Shoot Horses, Don't They?"]
Lewis FitxGerald;[u'Fighting Back']
Mike Damus;[u'Lost in Yonkers']
Kevin Miles;[u'The Cars That Ate Paris']
Julian Beck;[u'Poltergeist II']
Serge Moulin;[u'Samson']
Craig Stevens;[u'Night unto Night', u'Since You Went Away', u'Law of the Tropics']
Charles Waldron;[u'The Great Impersonation', u'The Big Sleep']
Walter Conolly;[u'Nothing Sacred']
Steve James;[u'The Exterminator', u'Heroes']
Isabell Jewell;[u'Counsellor at Law']
Thurstom Hall;[u'Metropolitan']
Hal Thompson;[u'Animal Crackers']
Yvette Wickers;[u'I, Mobster']
Ingrid Held;[u"Apres L'Amour"]
Saeed Jaffrey;[u'A Passage to India', u'The Man Who Would Be King', u'The Deceivers', u'Gandhi', u'My Beautiful Laundrette']
Gary Sinisi;[u'Of Mice and Men']
Johnson Mountain Boys;[u'Gather at the River']
Julia MigenesJohnson;[u'Carmen']
Ingrid Hell;[u'La maison assassinee']
Peter Dobson;[u'The Marying Man']
Art Ellison;[u'Carnival of Souls']
Perry King;[u'The Wild Party', u'Lipstick', u"TZ:Class of '84", u'Mandingo', u'TZ:Search and Destroy']
Henry Strozier;[u'Contact']
Hugh Quarshie;[u'La Chiesa']
Annie Grindley;[u'K2']
Porter Hall;[u'Vice Squad', u'The Petrified Forest', u'Double Indemnity', u'The Big Carnival', u'Intruder in the Dust', u'Unconquered', u'Mr. Smith goes to Washington', u'Wells Fargo', u'Miracle on 34th Street', u'Murder in the Private Car', u'His Girl Friday', u'Make Way for Tomorrow', u'Going My Way', u"Sullivan's Travels", u"The Miracle of Morgan's Creek", u'The Beautiful Blonde from Bashful Bend', u'That Wonderful Urge', u'Men with Wings', u'Satan Met A Lady', u'True Confessions', u'The Thin Man']
Jez Yzad;[u'Hannah K']
Francois Loyer;[u"Paris, Roman d'une Ville"]
Sally Geeson;[u'Cry of the Banshee']
Mackenzie Aston;[u'In Love and War']
Josef Sommer;[u'Malice', u'Silkwood', u'Witness', u'TZ:Hanky Panky']
Vivian Wu;[u'The Last Emperor', u'Heaven and Earth', u'The Pillowbook', u'8 1/2 Women', u'Teenage Mutant Ninja Turtles 3', u'The Joy Luck Club']
Veronica Cartwright;[u'The Witches of Eastwick', u'The Birds', u"Goin' South", u'The Invasion of the Body Snatchers', u'The Right Stuff', u'Alien']
Max;[u'The Mask']
Robyn Lake;[u'Debbie does Dallas']
Mona Washbourne;[u'My Fair Lady', u'The Blue Bird', u'Billy Liar', u'TZ:Stevie']
Barbara Billingsley;[u'Shadow on the Wall']
Maurice Barrier;[u'Le Retour de Martin Guerre']
Jaques Marin;[u'Gigot', u'Herbie Goes to Monte Carlo']
Richard Frank;[u'Amadeus']
Vidal Peterson;[u'Something Wicked This Way Comes']
Clifton Webb;[u"The Razor's Edge", u"For Heaven's Sake", u'Titanic', u'Three Coins in the Fountain', u'Laura']
Sandy Alexander;[u"TZ:Hell's Angels Forever"]
Rupert Everett;[u'Shakespeare in Love', u'Another Country', u'The Madness of King George', u"My Best Friend's Wedding", u'The Comfort of Strangers', u'An Ideal Husband']
Adolphe Menjou;[u'TZ:Little Miss Marker', u'The Goldiggers of 1935', u'TZ:Pollyanna', u'The Marriage Circle', u'Forbidden Paradise', u'A Farewell to Arms', u'State of the Union', u'Marquis Preferred', u'Stage Door', u'The Goldwyn Follies', u'The Sheik', u'Turnabout', u'A Bill of Divorcement', u'Dancing in the Dark', u"Sweet Rosie O'Grady", u'The Front Page', u'The Milky Way', u'Morning Glory', u'Bundle of Joy', u'Man Alive', u'Morocco', u'Paths of Glory', u'Heartbeat', u'Step Lively', u'A Star is Born']
Howard Nee;[u'A Crime For Mothers']
Sonny Landham;[u'Three Days To A Kill']
Carlos Ramirez;[u'Anchors Aweigh']
Wendy Jo Sperber;[u'1941']
German Robles;[u'El Vampiro', u'El Ataud del Coffin']
Fabrici Luchini;[u"Beaumarchais l'insolent"]
Marco Hofschneider;[u'Europa, Europa']
Margot Fitzsimmons;[u'I Know Where I Am Going']
Casa;[u'The Way to Love']
T.Ryder Smith;[u'Brainscan']
Peter Stormare;[u'Fargo']
Kate Nelligan;[u'Prince of Tides', u'Fatal Instinct', u'Frankie and Johnny', u'Without a Trace', u'TZ:Dracula', u'Up Close and Personal', u'White Room', u'Eye of the Needle', u'Shadows and Fog']
N. Ben;[u'To Live']
Sally Stewart;[u'The Lady Vanishes']
Georgette Sanders;[u'Debbie does Dallas']
Michal Kitchen;[u'Enchanted April']
Jeremy Bulloch;[u'The Empire Strikes Back']
Olive Carey;[u'The Searchers']
Barry Sullivan;[u'Tell Them Willie Boy is Here', u'Oh, God', u'Mr. Imperium', u'The Great Gatsby', u'and Now Tomorrow', u'Day of Reckoning', u'Another Time, Another Place', u'Queen Bee', u'Lady in the Dark', u'Earthquake', u'The 2,000,000 Dollar Defense', u'The Bad and the Beautiful']
James Canning;[u'The Boys in Company C']
Paul Abbott;[u'Sub Down', u'Born on the Fourth of July', u'Renaissance Man', u'Waving, Not Drowning']
John Malokvich;[u'In the Line of Fire']
Frank Fay;[u'They Knew What They Wanted', u'Nothing Sacred']
John Carrol;[u'Only Angels Have Wings', u'Rio Rita']
Sigournet Weaver;[u'Death and the Maiden']
Kathleen McGuire;[u'Vicious Circle']
Robert Downey;[u'To Live and Die in LA']
Glen Strange;[u'House of Dracula']
Roman Gabriel;[u'The Undefeated']
Helena Mitchell;[u'The Deceivers']
Magda Schneider;[u'Liebelei']
King Donovan;[u'The Enforcer', u'The Invasion of the Body Snatchers', u'The Beast from 20,000 Fathoms', u'The Defiant Ones']
Elsie Wagstaff;[u'Whistle Down the Wind']
Ginger Rodgers;[u'Weekend at the Waldorf']
Gwen Frangcon Davies;[u'Tudor Rose']
David Tom;[u'Stepfather 3']
Mark Malone;[u'Straight out of Brooklyn']
Henry Sanders;[u'Killer of Sheep']
Mara Corday;[u'The Man Without a Star', u'Girls on the Loose']
Michael Gover;[u'A Clockwork Orange']
Barbara Whiting;[u'Dangerous when Wet', u'Beware, My Lovely']
Barbara Bach;[u'Caveman', u'TZ:Force 10 From Navarone', u'The Spy Who Loved Me']
Hardie Allbright;[u'The Silver Streak']
JeanJaques Moreau;[u'Diva']
Clarice Blackburn;[u'Pretty Poison']
Sandra Church;[u'The Ugly American']
Clu Gulager;[u'The Other Side of Midnight', u'The Killers', u'Pen Pal', u'Winning', u"A Nightmare on Elm Street Part Two: Freddy's Revenge", u'A Force of One', u'TZ:Glass House']
Jena Malone;[u'Hope', u'Contact', u'Air Force One']
R.L. Burnside;[u'Deep Blues']
Gladys George;[u'The House Across the Bay', u'The Maltese Falcon', u'Undercover Girl', u'The Way of All Flesh', u'The Roaring Twenties', u'Madame X', u'The Hard Way', u'Marie Antoinette', u'The Best Years of our Lives', u'Detective Story']
Frank Shannon;[u'Flash Gordon', u"Flash Gordon's Trip to Mars", u'The Iron Major']
Anulka Morris;[u'Vampyres, Daughters of Dracula']
Tania Coleridge;[u'Rain Killer']
Julia Walters;[u'Buster']
Gregg Palmer;[u'Magnificent Obsession']
Peter Berg;[u'The Last Seduction', u'A Midnight Clear']
Adam Monty;[u'Left Luggage']
C.Auibrey Smith;[u'Bombshell']
Craig Chester;[u'Swoon', u'Frisk']
Ralph Bewllamy;[u'Blind Alley']
Phillips Holmes;[u'The Wild Party', u'Nana', u'The Man I Killed', u'Grumpy', u'Dinner at Eight']
Frederick Piper;[u'Hue and Cry', u'Jamaica Inn']
Sid Haig;[u'Blood Bath']
The Beatles;[u'Yellow Submarine', u"A Hard Day's Night", u'Help!']
Hiroke Berghauer;[u'Domicile Conjugal']
George Morfogan;[u'They All Laughed']
Lucille Ball;[u'Dance Girl Dance', u'Critics Choice', u'Roman Scandals', u'Too Many Girls', u'Stage Door', u'The Big Street', u'Miss Grant Takes Richmond', u'The Kid From Spain', u'Follow the Fleet', u'DuBarry Was a Lady', u'A Girl, a Guy, and a Gob', u'Seven Days Leave', u'Ziegfeld Follies', u'Room Service', u'Bunker Bean']
Tony Bill;[u'Shampoo', u'TZ:Initiation of Sarah', u'Castle Keep', u'Are You in the House Alone?']
Robert dNiro;[u'Jackie Brown']
Richard Long;[u'The Egg and I', u"Four O'Clock", u'Tomorrow is Forever', u'The Stranger', u'House on Haunted Hill']
Stephanie Schick;[u'Do or Die']
Toni Hudson;[u'Cross Creek']
Brian Bloom;[u'Hollywood Night']
Guy Rolfe;[u'The Alphabet Murders', u'The Spider and the Fly']
Claude Rich;[u'Stavisky', u'La Marie Etait En Noir']
Johnny Close;[u'The Girl on the Bridge']
Sidney Armus;[u'This is my Life']
Greta Vagu;[u'Twelfth Night']
Jonathan Kasdan;[u'The Accidental Tourist']
Bob Cummins;[u'It Started with Eve', u'Beach Party', u'Promise Her Anything']
David Opatshu;[u'On the Nose']
Tsi Chin;[u'The Face of Fu Manchu', u'The Brides of Fu Manchu', u'Kiss and Kill', u'The Castle of Fu Manchu', u'The Vengeance of Fu Manchu']
Geral Lorin;[u'Last Year iat Marienbad']
Christopher Atkins;[u'The Blue Lagoon']
Eddie Braccken;[u"The Miracle of Morgan's Creek"]
Jo VanFleet;[u'The Rose Tatoo', u'East of Eden', u"The Gang That Couldn't Shoot Straight", u'Cool Hand Luke']
Ricky Tomlinson;[u'RiffRaff', u'Raining Stones']
Mirta Ibarra;[u'Strawberry and Chocolate']
George Tobias;[u'City for Conquest', u'Passage to Marseilles', u'Thank Your Lucky Stars', u'Maisie', u'The Glass Bottom Boat', u'The Seven Little Foys', u'A New Kind of Love', u'They Drive by Night', u'The Strawberry Blonde', u'Silk Stockings', u'Sinbad the Sailor', u'The Set-Up', u'Torrid Zone']
Reta Shaw;[u'Picnic', u'The Pajama Game']
Barry Kivel;[u'Memoirs of an Invisible Man']
Reed Hadley;[u'Leave Her to Heaven', u'Caribbean Mystery']
Ralph Brown;[u'Alien 3', u'Buster', u'Impromptu']
Kari Väänaänen;[u'La Vie de Boh\xe8me']
Andrea Leeds;[u'Stage Door', u'The Goldwyn Follies']
Theodore Roosevelt;[u'In the Blood']
John Hancock;[u'The Bonfire of the Vanities']
Helen Stanton;[u'Man Trouble', u'Jungle Moon Men']
Leonie Pitchford;[u'Deep Blues']
Mala Powers;[u'Tammy and the Bachelor', u'Cyrano de Bergerac']
Chief Thander Bird;[u'Annie Oakley']
Carl Duering;[u'Arabesque', u'A Clockwork Orange']
Cesare Gravina;[u'The Wedding March']
Aidan Quinn;[u'Avalon', u'Legends of the Fall', u'Practical Magic', u'Playboys', u'At Play in the Field of the Lord', u'Benny and Joon', u'TZ:Reckless', u'Blink', u'Desperately Seeking Susan', u"The Handmaid's Tale"]
Stefania Casini;[u'Suspira', u'The Belly of an Architect']
Joan Blackman;[u'Blue Hawaii', u'Macon County Line']
Harry vanZell;[u'Till the End of Time']
Donald meek;[u'Maid of Salem', u'Mrs. Wiggs of the Cabbage Patch', u'Maisie Gets Her Man']
Don Francks;[u"Finian's Rainbow"]
Mary Meigs;[u'Strangers in Good Company']
Tricia ONeil;[u'Are You in the House Alone?']
John Huston;[u'The Treasure of the Sierra Madre', u'The List of Adrian Messenger', u'The Bible', u'Casino Royale', u'The Life and Times of Judge Roy Bean', u'Under the Volcano', u'Myra Breckenridge', u'TZ:Tentacles', u'Lovesick', u'Chinatown', u'TZ:Breakout', u'Winter Kills']
Nils Asther;[u'Bluebeard', u'If I Were Free', u'The Bitter Tea of General Yen', u'Jealousy']
Franco Fabbrizi;[u'Il Bidone']
Claudine Longet;[u'The Party']
Oscar Polk;[u'The Green Pastures']
John Kraaykamp;[u'The Assault']
Eddie Cantor;[u'The Eddie Cantor Story', u'Thank Your Lucky Stars', u'Hollywood Canteen', u'Show Business', u'Roman Scandals', u'If You Knew Susie', u'The Kid From Spain', u'Glorifying the American Girl', u'Strike Me Pink']
Andrea Schroeber;[u'Chinese Roulette']
Anna Galiena;[u'Being Human', u'Le Mari de la Coiffeuse']
T.Graham Brown;[u'Paradise Park']
Patrick McNamara;[u'Obsession']
Elliott Dexter;[u'The Squaw Man', u'The Affairs of Anatol']
Lawrence Tierney;[u'Female Jungle', u'The Greatest Show on Earth', u'Death of A Cop', u'Reservoir Dogs']
Sam Jaffe;[u'Dunwich Horror', u"Gentleman's Agreement", u'Lost Horizon', u'Gunga Din', u'The Asphalt Jungle', u"TZ:Gideon's Trumpet", u'Battle Beyond the Stars', u'The Scarlet Empress', u'Rope of Sand']
Guy Middleton;[u'French Without Tears', u'The Happiest Day of Your Life', u'Laughter in Paradise', u"The Rake's Progress"]
Jennifer Elisa cox;[u'Sometimes they come back ... again']
Lawrence Tierner;[u'Dillinger']
Cherie Chung;[u'Peking Opera Blues']
Pedro Almodovar;[u'Matador']
Leonore Aubert;[u"I Wonder Who's Kissing Her Now?"]
James Lydon;[u'Life with Father']
Dona Spei;[u'Do or Die']
Jay C. Flippen;[u'Hellfighters', u'Oklahoma!', u'Carnival Story', u'The Deerslayer', u'The Man Without a Star', u'The Wild One', u'The Seven Minutes', u'The Killing']
Kristy McNichols;[u'Two Moon Junction']
Sam Kydd;[u"I'm Allright Jack"]
Carlton Young;[u'Twenty Thousand Leagues Under the Sea']
Terence Hill;[u'March or Die', u'Mr. Billion']
Heather Thatcher;[u'The Moon and Sixpence', u'If I were King', u'Beau Geste']
Saskia post;[u'Proof']
Zack OMaley Greenburg;[u"Lorenzo's Oil"]
Gosta Ekman;[u'Swedenhielms']
Jonah Blechman;[u"This Boy's Life"]
Terry Thomas;[u'Happy is the Bride', u'The Green Man']
Tony Romano;[u'Starting Over']
Michael McKeane;[u'Coneheads']
John Rechy;[u'Armee der Lievenden oder Aufstand der Perversen']
Irene Tsu;[u'Seven Women']
Steve Cochram;[u'Carnival Story']
Steve Cochran;[u'Private Hell 36', u'A Song is Born', u'Il Grido', u'The Kid from Brooklyn', u'I, Mobster']
Hermione Gingold;[u'Munster, Go Home', u'A Little Night Music', u"I'd Rather be Rich", u'The Music Man', u'Around the World in 80 Days', u'The Schartz-Metterklume Method', u'Gigi']
Nacy Davis;[u'Talk About a Stranger']
Julie Newmar;[u"TZ:MacKenna's Gold", u'TZ:Terraces']
Leopoldo Trieste;[u'The White Sheik', u'I Vitelloni']
Tommy Pollard;[u'TZ:Penitentiary']
Vsevolod Larionov;[u'Dark Eyes']
Stephen Nathan;[u'TZ:You Light Up My Life']
Milena Vukovic;[u'The Discreet Charm of the Bourgeousie']
Annie Lennox;[u'Edward II']
Jan Gontic;[u'Green Card']
AnneMarie Martin;[u'Runaway']
Marius Goring;[u'Pandora and the Flying Dutchman', u'The Moonraker', u'The Man Who Watched Trains Go By', u'The Barefoot Contessa', u'A Matter of Life and Death']
Howard McNear;[u'Blue Hawaii']
Bob Gunton;[u'The Shawshank Redemption']
John Harkins;[u'Right of Way']
Charles Clary;[u"Tennessee's Pardner"]
Frank Craven;[u'City for Conquest', u'State Fair', u'Small Town Girl']
Jack Trevor;[u'Champagne']
Gladys Knight;[u'20 Bucks']
Brad Whitford;[u'Masterminds']
Peter Kelly;[u'The Tall Guy']
William Albert;[u'Yes, Giorgio']
Anouk Aimee;[u'Les Amants de Verone', u'Un Soir, Un Train', u'Tragedy of a Ridiculous Man', u'La Dolce Vita', u'Otto e Mezzo', u'The Man Who Watched Trains Go By', u'Bethune, the Making of a Hero', u'The Appointment']
Guo Tao;[u'To Live']
Carl Betz;[u'Vicki', u'On the Nose', u'Dangerous Crossing', u'Inferno']
Cheryl Ladd;[u'Poison Ivy', u'Purple Hearts', u'TZ:The Treasure of Jamaica Reef']
Tony Slattery;[u"Peter's Friends", u'The Crying Game']
Desiree Becker;[u'Good Morning, Babylon']
Molly Picon;[u'The Cannonball Run', u'Fiddler on the Roof', u"TZ:For Pete's Sake"]
John Ragin;[u'Insomnia']
Madame SulTeWan;[u'Maid of Salem', u'Imitation of Life']
Etienne Girardot;[u'The Story of Vernon and Irene Castle', u'Twentieth Century', u'Curly Top', u'Wake Up and Live', u'The Hunchback of Notre Dame']
Dolly Haas;[u'I Confess', u'Broken Blossoms']
Craig Russell;[u'TZ:Outrageous']
Buster Kaeton;[u'Sidewalks of New York']
Yvonne Furneaux;[u'Repulsion', u'The Mummy']
Claude Noiller;[u'Justice est Fait']
Joanna Dickens;[u'Victor/Victoria']
Arthur Lake;[u'Blondie', u'Lilac Time', u'Topper', u'The Silver Streak']
Ellen Beaven;[u'Buster']
Cris Avram;[u'Emanuelle in Bangkok']
Rip Torn;[u'Defending Your Life', u'Beach Red', u'TZ:Payday', u'TZ:The Beastmaster', u'Critics Choice', u'TZ:Jinxed', u'RoboCop 3', u'Where the River Flows North', u'Trial and Error', u'The Seduction of Joe Tynan', u'One Spy Too Many', u'Airplane II: The Sequel', u'The Private Files of J. Edgar Hoover', u'Coma', u'Nasty Habits', u'Cross Creek', u'The Man Who Fell to Earth', u'TZ:Cincinnati Kid', u'King of Kings', u'Sweet Bird of Youth', u'TZ:One Trick Pony', u'TZ:A Shining Season', u'Flashpoint']
Ramon Navarro;[u'The Big Steal', u'The Barbarian']
Maurice Garvel;[u'La peau douce']
Will Geer;[u'Bandolero!', u'Intruder in the Dust', u'Broken Arrow', u'TZ:Executive Action', u'The Blue Bird', u'Seconds', u'A Woman Called Moses', u'TZ:Jeremiah Johnson', u'Johnny Allegro']
Brad Pitt;[u"The Devil's Own", u'Seven', u'The Favor', u'Legends of the Fall', u'Seven Years in Tibet', u'Meet Joe Black', u'Cool World', u'A River Runs Through It', u'Thelma and Louise', u'Johnny Suede', u'Sleepers']
Tiny Sandford;[u'Modern Times']
Arend-Andre van Noord;[u'Hartverscheurend']
Henry Walthall;[u'The Birth of a Nation']
Geoge Irving;[u'Bringing Up Baby']
Frances Dormond;[u'Madeline']
Elyssa Davalos;[u'Herbie Goes Bananas']
Goran Bernhard;[u"A Woman's Face"]
Glen anders;[u'Nothing But the Truth']
Arletta Duncan;[u'Back Street']
Rudolph Valentino;[u'The Eagle', u'The Sheik', u'Camille', u'Monsieur Beaucaire', u'Beyond the Rocks']
Atom Egoyan;[u'Calendar']
Patricia Clarckson;[u'The Dead Pool']
Paula Prentiss;[u'TZ:The Parallax View', u'The Stepford Wives', u'Buddy Buddy', u"What's New Pussycat?", u'TZ:The World of Henry Orient', u'Black Marble', u'Where the Boys Are', u'Born to Win', u'Catch 22']
